row col colliderArea maskBBox maskAlphaPixels alphaPixels/colliderArea maskBBoxArea/colliderArea
R0 C0 16694 (207, 188, 406, 281) 18018 1.079 1.109
R0 C1 16479 (434, 189, 619, 282) 16859 1.023 1.044
R0 C2 16022 (652, 190, 824, 283) 15884 0.991 0.998
R0 C3 16391 (860, 188, 1033, 282) 16085 0.981 0.992
R0 C4 16614 (1066, 189, 1245, 282) 16644 1.002 1.002
R0 C5 18942 (1273, 188, 1468, 281) 17871 0.943 0.957
R1 C0 22255 (158, 308, 380, 437) 28607 1.285 1.287
R1 C1 21538 (404, 307, 606, 438) 26382 1.225 1.229
R1 C2 20008 (638, 307, 823, 438) 24012 1.2 1.211
R1 C3 20960 (861, 306, 1043, 438) 24024 1.146 1.146
R1 C4 20939 (1077, 306, 1272, 438) 25728 1.229 1.229
R1 C5 22643 (1298, 306, 1515, 437) 28415 1.255 1.255
R2 C0 28398 (102, 466, 343, 622) 37218 1.311 1.324
R2 C1 27505 (366, 465, 587, 623) 33521 1.219 1.269
R2 C2 25387 (619, 464, 820, 624) 30869 1.216 1.267
R2 C3 26514 (861, 464, 1056, 618) 28633 1.08 1.133
R2 C4 28270 (1092, 464, 1304, 623) 33125 1.172 1.192
R2 C5 31677 (1330, 464, 1568, 624) 37582 1.186 1.202
